count,1,2,3,4,5,6,7,persons,amounts,total,odd,even,yellow,blue,red,green,gray,band,1continue,2continue,3continue,4continue,endigDigit
1,10,23,29,33,37,40,16,0,0,172,4,2,1,0,2,3,0,3,0,0,0,0,2
2,9,13,21,25,32,42,2,1,"2,002,006,800",142,4,2,1,1,2,1,1,5,0,0,0,0,2
3,11,16,19,21,27,31,30,1,"2,000,000,000",125,5,1,0,3,2,1,0,3,0,0,0,0,3
4,14,27,30,31,40,42,2,0,0,184,2,4,0,1,2,2,1,4,1,0,0,0,2
5,16,24,29,40,41,42,3,0,0,192,2,4,0,1,2,1,2,4,0,1,0,0,1
6,14,15,26,27,40,42,34,1,"6,574,451,700",164,2,4,0,2,2,1,1,4,1,0,0,0,1
7,2,9,16,25,26,40,42,0,0,118,2,4,2,1,2,1,0,4,1,0,0,0,2
8,8,19,25,34,37,39,9,0,0,162,4,2,1,1,1,3,0,4,0,0,0,0,2
9,2,4,16,17,36,39,14,0,0,114,2,4,2,2,0,2,0,3,1,0,0,0,2
10,9,25,30,33,41,44,6,13,"6,430,437,900",182,4,2,1,0,2,1,2,4,0,0,0,0,1
11,1,7,36,37,41,42,14,5,"4,780,152,300",164,4,2,2,0,0,2,2,3,1,0,0,0,2
12,2,11,21,25,39,45,44,12,"1,348,845,700",143,5,1,1,1,2,1,1,5,0,0,0,0,2
13,22,23,25,37,38,42,26,0,0,187,3,3,0,0,3,2,1,3,1,0,0,0,2
14,2,6,12,31,33,40,15,4,"9,375,048,300",124,2,4,2,1,0,3,0,3,0,0,0,0,2
15,3,4,16,30,31,37,13,1,"17,014,245,000",121,3,3,2,1,1,2,0,4,1,0,0,0,1
16,6,7,24,37,38,40,33,4,"4,377,146,100",152,2,4,2,0,1,3,0,3,1,0,0,0,2
17,3,4,9,17,32,37,1,3,"5,349,491,200",102,4,2,3,1,0,2,0,3,1,0,0,0,2
18,3,12,13,19,32,35,29,0,0,114,4,2,1,3,0,2,0,3,1,0,0,0,2
19,6,30,38,39,40,43,26,1,"40,722,959,400",196,2,4,1,0,1,3,1,4,0,1,0,0,2
20,10,14,18,20,23,30,41,1,"19,352,212,800",115,1,5,1,3,2,0,0,3,0,0,0,0,3
21,6,12,17,18,31,32,21,23,"797,475,400",116,2,4,1,3,0,2,0,3,1,0,0,0,2
22,4,5,6,8,17,39,25,4,"4,552,194,900",79,3,3,4,1,0,1,0,3,0,1,0,0,1
23,5,13,17,18,33,42,44,4,"4,317,947,700",128,4,2,1,3,0,1,1,4,1,0,0,0,2
24,7,8,27,29,36,43,6,0,0,150,4,2,2,0,2,1,1,4,1,0,0,0,2
25,2,4,21,26,43,44,16,2,"24,227,745,300",140,2,4,2,0,2,0,2,3,1,0,0,0,2
26,4,5,7,18,20,25,31,5,"3,495,069,900",79,3,3,3,2,1,0,0,3,1,0,0,0,2
27,1,20,26,28,37,43,27,2,"9,543,982,500",155,3,3,1,1,2,1,1,5,0,0,0,0,1
28,9,18,23,25,35,37,1,10,"1,700,361,100",147,5,1,1,1,2,2,0,4,0,0,0,0,2
29,1,5,13,34,39,40,11,5,"3,552,594,000",132,4,2,2,1,0,3,0,3,1,0,0,0,1
30,8,17,20,35,36,44,4,2,"8,728,555,500",160,2,4,1,2,0,2,1,4,1,0,0,0,1
31,7,9,18,23,28,35,32,2,"8,106,672,900",120,4,2,2,1,2,1,0,4,0,0,0,0,2
32,6,14,19,25,34,44,11,10,"1,634,528,300",142,2,4,1,2,1,1,1,5,0,0,0,0,3
33,4,7,32,33,40,41,9,1,"14,903,517,600",157,3,3,2,0,0,3,1,3,1,0,0,0,1
34,9,26,35,37,40,42,2,5,"3,056,918,000",189,3,3,1,0,1,3,1,4,0,0,0,0,1
35,2,3,11,26,37,43,39,3,"5,054,598,200",122,4,2,2,1,1,1,1,5,1,0,0,0,2
36,1,10,23,26,28,40,31,1,"16,014,475,800",128,2,4,2,0,3,1,0,3,0,0,0,0,2
37,7,27,30,33,35,37,42,3,"4,985,999,400",169,5,1,1,0,2,3,0,3,0,0,0,0,3
38,16,17,22,30,37,43,36,3,"5,374,866,400",165,3,3,0,2,2,1,1,4,1,0,0,0,2
39,6,7,13,15,21,43,8,6,"2,623,748,800",105,5,1,2,2,1,0,1,4,1,0,0,0,2
40,7,13,18,19,25,26,6,13,"1,147,652,400",108,4,2,1,3,2,0,0,3,1,0,0,0,1
41,13,20,23,35,38,43,34,0,0,172,4,2,0,2,1,2,1,4,0,0,0,0,3
42,17,18,19,21,23,32,1,6,"6,899,280,100",130,4,2,0,3,2,1,0,3,0,1,0,0,1
